,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
1,bluff,0.0,AU,2019-01-13,69.0,-23.58,149.07,72.15,10.56
2,victoria,75.0,BN,2019-01-13,88.0,5.28,115.24,78.8,3.36
3,wattegama,24.0,LK,2019-01-13,97.0,7.35,80.68,67.51,2.84
4,vaini,0.0,IN,2019-01-13,79.0,15.34,74.49,58.78,2.62
5,souris,75.0,CA,2019-01-13,72.0,46.36,-62.25,10.4,6.93
6,ushuaia,75.0,AR,2019-01-13,57.0,-54.81,-68.31,57.2,23.04
7,shache,0.0,CN,2019-01-13,65.0,38.42,77.24,8.38,2.51
8,pontianak,80.0,ID,2019-01-13,100.0,-0.02,109.34,75.25,4.29
9,taoudenni,0.0,ML,2019-01-13,29.0,22.68,-3.98,50.59,11.01
10,bilma,0.0,NE,2019-01-13,23.0,18.69,12.92,53.07,11.23
11,atuona,24.0,PF,2019-01-13,100.0,-9.8,-139.03,81.1,17.05
12,hermanus,12.0,ZA,2019-01-13,95.0,-34.42,19.24,57.3,3.29
13,jamestown,0.0,AU,2019-01-13,79.0,-33.21,138.6,62.02,2.95
14,dikson,80.0,RU,2019-01-13,99.0,73.51,80.55,1.72,30.24
15,tevaitoa,88.0,PF,2019-01-13,100.0,-16.78,-151.5,82.72,15.48
16,bethel,90.0,US,2019-01-13,91.0,60.79,-161.76,30.92,13.87
17,mar del plata,0.0,AR,2019-01-13,24.0,-46.43,-67.52,79.62,5.97
18,karratha,20.0,AU,2019-01-13,66.0,-20.74,116.85,81.87,7.31
19,kamloops,75.0,CA,2019-01-13,80.0,50.68,-120.34,33.8,10.29
20,georgetown,20.0,GY,2019-01-13,62.0,6.8,-58.16,84.2,16.11
21,alibag,0.0,IN,2019-01-13,60.0,18.64,72.88,71.6,3.36
22,dalby,40.0,AU,2019-01-13,68.0,-27.18,151.26,71.6,19.46
23,rikitea,76.0,PF,2019-01-13,99.0,-23.12,-134.97,79.62,11.56
24,new norfolk,0.0,AU,2019-01-13,59.0,-42.78,147.06,64.4,3.36
25,najran,0.0,SA,2019-01-13,34.0,17.54,44.22,64.4,3.62
26,port alfred,24.0,ZA,2019-01-13,89.0,-33.59,26.89,68.64,7.31
27,pec,90.0,DE,2019-01-13,93.0,49.4,12.83,41.0,4.7
28,hobart,0.0,AU,2019-01-13,59.0,-42.88,147.33,64.4,3.36
29,morgan city,1.0,US,2019-01-13,60.0,29.7,-91.21,53.6,11.41
30,hithadhoo,92.0,MV,2019-01-13,100.0,-0.6,73.08,82.36,6.76
31,lebu,0.0,ET,2019-01-13,28.0,8.96,38.73,55.4,4.18
32,lagoa,0.0,PT,2019-01-13,76.0,37.14,-8.45,48.2,5.82
33,fort nelson,90.0,CA,2019-01-13,76.0,58.81,-122.69,-7.61,3.36
34,comodoro rivadavia,0.0,AR,2019-01-13,28.0,-45.87,-67.48,73.4,13.87
35,gat,12.0,SN,2019-01-13,32.0,14.69,-16.54,84.2,2.24
36,xuddur,0.0,SO,2019-01-13,55.0,4.12,43.89,69.13,8.21
37,pisco,0.0,PE,2019-01-13,30.0,-13.71,-76.2,71.6,20.8
38,mataura,92.0,NZ,2019-01-13,88.0,-46.19,168.86,55.27,10.22
39,hilo,90.0,US,2019-01-13,62.0,19.71,-155.08,77.0,6.93
40,saint-georges,0.0,CA,2019-01-13,70.0,46.12,-70.67,6.72,3.74
41,busselton,0.0,AU,2019-01-13,100.0,-33.64,115.35,59.55,18.05
42,telimele,8.0,GN,2019-01-13,65.0,10.9,-13.03,73.95,2.17
43,mayo,90.0,CA,2019-01-13,76.0,63.59,-135.9,-4.01,2.24
44,praia da vitoria,75.0,PT,2019-01-13,82.0,38.73,-27.07,60.8,17.27
45,bredasdorp,32.0,ZA,2019-01-13,72.0,-34.53,20.04,68.0,3.36
46,benguela,8.0,AO,2019-01-13,100.0,-12.58,13.4,74.85,3.96
47,sarahan,0.0,IN,2019-01-13,85.0,31.51,77.79,-24.2,1.61
48,bose,0.0,IT,2019-01-13,74.0,45.46,8.01,48.2,4.7
49,port elizabeth,90.0,US,2019-01-13,81.0,39.31,-74.98,32.0,14.99
50,chuy,92.0,UY,2019-01-13,100.0,-33.69,-53.46,71.29,13.24
